dt,msd
916,13.64436
918,13.65297
920,13.66157
922,13.67015
924,13.67872
926,13.68726
928,13.69579
930,13.7043
932,13.71279
934,13.72127
936,13.72973
938,13.73817
940,13.74659
942,13.755
944,13.76339
946,13.77176
948,13.78011
950,13.78845
952,13.79677
954,13.80508
956,13.81337
958,13.82164
960,13.82989
962,13.83813
964,13.84635
966,13.85455
968,13.86274
970,13.87091
972,13.87907
974,13.88721
976,13.89533
978,13.90343
980,13.91152
982,13.91959
984,13.92765
986,13.93569
988,13.94372
990,13.95173
992,13.95972
994,13.96769
996,13.97565
998,13.9836
